;03:Q1;03:Q2;03:Q3;03:Q4;04:Q1;04:Q2;04:Q3;04:Q4;05:Q1;05:Q2;05:Q3;05:Q4;06:Q1;06:Q2;06:Q3;06:Q4;07:Q1;07:Q2;07:Q3;07:Q4;08:Q1;08:Q2;08:Q3;08:Q4;09:Q1;09:Q2;09:Q3;09:Q4;10:Q1;10:Q2;10:Q3;10:Q4;11:Q1;11:Q2;11:Q3;11:Q4;12:Q1;12:Q2;12:Q3;12:Q4;13:Q1;13:Q2;13:Q3;13:Q4;14:Q1;14:Q2;14:Q3;14:Q4;15:Q1;15:Q2;15:Q3;15:Q4;16:Q1;16:Q2;16:Q3;16:Q4;17:Q1;17:Q2;17:Q3;17:Q4;18:Q1;18:Q2;18:Q3;18:Q4;19:Q1;19:Q2;19:Q3;19:Q4
AZ;8.01;7.96;8.21;7.98;6.81;7.17;6.07;5.97;5.68;5.23;5.23;5.08;5.19;5.05;5.11;5.29;5.74;6.87;7.51;9.82;10.95;12.24;13.90;15.61;16.77;17.27;18.48;16.80;15.81;15.04;13.63;12.29;11.85;10.67;9.48;9.39;9.03;8.58;7.73;6.89;6.18;5.98;5.82;5.40;5.44;5.45;5.64;5.49;5.55;5.04;4.68;5.39;5.24;5.57;5.51;4.70;4.22;4.40;4.47;4.69;5.27;4.54;5.02;5.02;4.62;5.25;5.25;4.88
CA;4.66;4.57;4.16;4.06;3.82;3.77;3.66;3.53;3.48;3.35;3.54;3.52;3.66;3.96;4.08;5.03;6.01;6.80;8.17;9.41;10.25;11.64;12.66;14.33;15.78;16.68;16.87;15.76;14.62;13.14;11.85;10.69;9.73;8.96;8.84;8.35;7.97;7.45;6.66;6.25;5.69;5.21;4.91;4.41;3.92;3.79;3.92;3.77;3.73;3.87;3.39;3.37;3.29;2.94;2.96;2.91;2.91;2.96;2.78;2.66;2.63;2.68;2.94;2.99;3.01;3.12;3.10;3.20
FL;7.28;7.65;7.13;7.06;6.93;6.82;7.34;6.82;7.00;6.62;6.45;6.40;5.63;5.35;5.01;5.20;5.64;6.41;7.87;9.73;12.99;14.52;16.35;19.05;19.28;20.21;18.86;16.86;15.82;14.42;14.07;13.06;11.82;11.47;11.04;10.73;10.46;10.10;9.68;9.10;8.45;8.15;8.24;8.04;8.10;7.98;7.35;6.81;6.20;6.12;6.04;6.12;6.09;5.87;5.65;5.50;5.86;5.94;6.19;5.35;5.10;4.92;5.42;6.27;6.29;6.23;5.51;5.62
IL;6.15;6.26;6.26;6.08;5.70;5.44;4.87;4.73;4.81;4.82;5.32;5.21;5.02;5.24;5.48;5.88;6.09;6.03;5.92;6.06;6.68;7.43;8.35;9.75;10.46;11.14;11.05;9.92;8.81;8.32;7.69;8.13;8.31;8.00;8.79;8.05;7.47;7.23;6.65;6.45;6.54;6.36;5.84;5.58;5.58;5.22;5.16;4.97;4.65;4.53;4.57;4.68;4.55;4.44;3.95;3.95;4.10;4.07;4.07;3.97;3.94;4.62;4.71;4.39;4.62;3.96;4.04;4.62
MI;7.56;7.96;7.40;6.87;6.49;6.36;6.54;6.23;6.28;6.23;6.29;6.98;6.97;7.01;7.26;7.81;9.06;9.85;9.99;9.76;9.52;9.74;10.23;11.71;11.53;11.60;12.02;10.63;10.11;9.93;9.22;8.38;8.24;7.58;7.14;7.05;6.41;6.31;6.34;6.88;8.02;7.75;7.39;6.61;5.95;5.69;5.42;5.26;4.71;4.61;4.42;4.71;4.65;4.64;5.13;5.12;5.29;5.37;4.84;4.79;4.99;4.80;4.99;5.07;5.00;5.21;4.98;4.92
NJ;7.06;6.95;6.26;5.91;5.16;4.98;5.09;4.87;5.04;5.08;4.80;5.11;5.22;5.33;5.98;5.68;5.51;5.46;5.50;7.61;8.02;9.17;9.98;9.35;10.08;9.84;9.30;8.21;7.56;7.29;7.04;7.68;7.18;7.18;7.60;7.26;8.10;7.80;7.80;6.86;6.05;6.65;6.04;6.44;6.55;5.71;5.27;5.09;5.09;5.23;5.31;5.21;4.66;4.31;4.55;4.62;4.86;4.72;4.59;4.75;4.91;5.50;5.62;5.37;5.19;4.48;4.10;4.15
NV;8.13;8.96;8.37;8.85;7.07;6.32;5.90;4.44;4.27;4.58;4.08;3.91;4.99;4.71;5.17;5.92;6.24;6.49;7.60;10.54;11.96;16.49;19.57;19.95;22.91;21.74;20.79;21.79;22.96;23.32;22.90;23.07;24.72;21.47;21.26;18.88;12.67;13.34;12.63;11.26;12.54;11.66;9.60;10.17;6.43;5.86;6.55;5.35;5.89;5.44;4.72;4.28;4.84;4.80;4.85;5.52;4.52;5.53;5.84;5.35;4.96;4.65;4.59;4.99;5.78;4.82;3.95;3.65
NY;7.26;7.45;6.48;6.57;5.83;5.64;5.38;5.27;5.31;5.20;5.89;5.66;5.75;6.01;5.75;5.92;6.05;6.12;7.25;7.99;9.10;9.41;9.13;9.36;8.90;9.32;9.92;9.82;9.69;9.14;8.78;7.94;8.01;7.62;7.30;7.64;7.46;7.51;7.04;6.72;6.39;6.52;6.20;6.49;6.12;5.51;5.41;5.19;5.22;5.21;5.32;4.92;4.72;4.70;4.72;4.81;5.09;5.22;5.01;5.18;5.26;5.21;5.27;5.19;5.06;5.24;4.93;4.76
OH;6.63;6.73;6.62;6.62;6.34;6.43;6.68;6.47;6.34;6.19;6.51;7.11;7.18;7.40;7.12;6.58;7.63;8.14;7.84;8.56;7.99;7.72;8.31;8.18;8.30;8.81;8.61;8.28;8.64;8.22;8.27;8.27;7.73;7.18;7.24;7.09;6.68;6.97;6.67;7.18;7.24;7.40;7.19;7.05;6.95;6.21;6.03;5.35;5.42;5.86;5.94;5.82;5.85;5.38;5.34;5.70;5.60;6.18;6.28;5.84;6.10;5.65;5.86;5.98;5.82;5.61;5.21;5.41
PA;6.61;6.79;6.78;6.63;6.37;6.05;5.87;5.83;5.63;5.35;5.14;4.82;4.54;5.14;5.30;5.56;6.20;5.86;6.14;6.58;6.26;6.65;6.79;6.71;6.91;7.38;7.67;8.02;9.08;8.62;8.26;7.64;6.43;6.17;6.27;6.26;6.04;6.25;5.99;5.98;6.66;6.43;6.58;6.34;5.51;5.51;5.37;5.54;5.61;5.34;5.25;4.80;4.80;4.68;4.57;4.74;4.91;4.91;4.81;4.82;4.59;4.90;4.84;4.74;4.96;5.06;5.10;5.24
