;03:Q1;03:Q2;03:Q3;03:Q4;04:Q1;04:Q2;04:Q3;04:Q4;05:Q1;05:Q2;05:Q3;05:Q4;06:Q1;06:Q2;06:Q3;06:Q4;07:Q1;07:Q2;07:Q3;07:Q4;08:Q1;08:Q2;08:Q3;08:Q4;09:Q1;09:Q2;09:Q3;09:Q4;10:Q1;10:Q2;10:Q3;10:Q4;11:Q1;11:Q2;11:Q3;11:Q4;12:Q1;12:Q2;12:Q3;12:Q4;13:Q1;13:Q2;13:Q3;13:Q4;14:Q1;14:Q2;14:Q3;14:Q4;15:Q1;15:Q2;15:Q3;15:Q4;16:Q1;16:Q2;16:Q3;16:Q4;17:Q1;17:Q2;17:Q3;17:Q4;18:Q1;18:Q2;18:Q3;18:Q4;19:Q1;19:Q2;19:Q3;19:Q4
AZ;2.95;3.13;3.52;3.48;2.89;2.93;2.69;2.54;2.48;2.27;1.96;1.82;1.88;1.74;1.84;1.82;2.00;2.86;3.44;5.09;6.79;7.45;8.81;9.43;11.19;12.08;12.65;13.73;12.19;11.80;10.69;8.86;7.43;6.59;6.16;5.95;6.14;5.73;4.95;4.05;3.40;3.23;3.49;3.37;3.35;3.08;2.54;2.56;2.63;2.54;2.53;2.29;2.63;2.95;2.93;3.33;2.57;2.19;2.31;1.96;2.28;2.34;2.26;2.41;2.20;2.42;2.67;2.54
CA;1.87;1.85;1.73;1.58;1.41;1.27;1.19;1.13;1.10;1.14;1.16;1.10;1.15;1.18;1.31;1.59;1.91;2.50;3.61;5.13;6.94;8.33;9.18;10.11;11.52;12.78;12.68;12.45;11.21;9.51;9.20;8.14;6.96;6.62;6.20;6.05;5.90;5.55;4.98;4.51;4.00;3.44;2.99;2.48;2.23;2.03;1.86;1.85;1.82;1.93;1.95;1.74;1.59;1.45;1.34;1.43;1.47;1.41;1.53;1.38;1.24;1.31;1.26;1.31;1.27;1.34;1.34;1.56
FL;2.82;2.88;2.80;2.66;2.58;2.25;2.21;2.11;1.96;2.13;2.02;1.84;1.89;1.65;1.73;2.21;2.45;2.92;3.69;4.62;7.07;8.26;9.68;11.87;12.98;14.62;14.65;13.49;12.51;11.49;10.76;10.16;8.34;7.37;7.25;6.81;6.80;6.51;5.99;5.24;4.83;4.41;4.05;4.07;4.26;4.20;4.09;4.00;3.43;3.49;3.34;3.39;3.38;3.26;3.21;3.07;3.10;3.18;3.21;2.68;2.57;2.44;3.12;3.56;3.63;3.68;2.84;3.17
IL;2.05;2.29;2.25;2.16;2.30;2.13;2.29;2.45;2.26;2.16;2.09;1.74;1.76;1.74;2.02;2.49;2.93;3.27;2.98;3.17;2.99;3.19;4.19;4.75;5.91;6.80;7.48;7.67;7.04;6.32;5.21;4.89;5.02;5.05;5.16;4.95;4.66;4.26;4.05;3.92;3.83;3.65;3.65;3.27;3.06;2.98;2.69;2.66;2.53;2.57;2.54;2.72;2.41;2.61;2.34;2.32;2.45;2.10;2.10;1.80;1.92;2.18;2.49;2.43;2.49;2.42;2.15;2.23
MI;3.08;2.97;2.96;2.50;2.35;2.49;2.76;2.63;2.64;2.25;2.11;2.47;2.63;2.72;3.03;3.06;3.60;4.13;4.78;5.15;4.99;5.36;4.66;5.17;6.03;6.46;7.70;7.82;7.24;7.02;5.93;4.99;5.12;4.26;4.27;4.26;3.48;3.69;3.90;3.70;4.13;4.46;4.02;4.13;3.94;3.12;3.06;2.82;2.53;2.68;2.58;2.66;2.74;2.71;2.87;2.89;3.02;2.85;2.75;2.59;2.55;2.81;2.63;2.92;2.63;2.71;2.52;2.38
NJ;2.80;3.01;2.70;2.89;2.16;1.72;1.71;1.64;1.75;1.65;1.42;1.38;1.39;1.44;1.78;1.60;1.50;1.75;1.83;2.71;4.07;4.44;5.58;6.19;6.39;7.31;6.42;5.82;4.69;3.83;3.93;3.56;4.10;3.91;3.99;4.77;4.20;4.63;4.42;3.66;3.78;3.99;3.96;4.37;4.39;3.58;3.47;2.81;2.57;2.55;2.55;2.52;2.27;2.10;2.01;2.33;2.67;2.76;2.90;2.72;2.45;2.63;3.00;2.73;2.76;2.72;2.25;2.34
NV;3.00;3.97;4.61;5.08;5.14;3.74;2.80;1.81;1.10;1.24;1.03;0.95;0.93;1.43;1.57;2.27;3.23;3.44;3.66;4.11;6.83;8.28;13.18;16.19;15.36;19.02;16.86;15.02;16.21;17.62;16.88;16.21;22.73;16.73;16.62;16.72;9.20;9.14;8.67;9.59;7.38;6.81;5.74;3.90;3.57;4.93;4.69;4.62;4.75;2.75;4.60;3.99;3.81;3.81;1.50;1.83;1.60;1.91;2.80;2.50;2.64;3.20;2.41;2.79;2.72;2.05;2.01;1.72
NY;2.95;2.82;2.65;2.42;2.20;2.08;2.15;2.22;2.10;2.07;2.18;2.06;2.15;2.33;2.20;2.24;2.38;2.84;3.39;3.92;4.53;4.64;5.18;5.43;5.61;5.81;5.93;6.64;6.86;6.96;6.60;5.72;4.94;4.48;4.11;3.85;4.20;4.11;4.06;3.76;3.51;3.90;3.96;4.32;4.27;3.39;2.99;3.05;2.70;2.81;2.81;2.39;2.59;2.51;2.52;2.56;2.55;2.77;2.76;2.88;2.92;2.80;2.81;2.69;2.69;2.90;2.78;2.73
OH;2.45;2.59;2.56;2.59;2.62;2.69;2.79;2.92;2.95;2.93;2.90;3.02;3.02;2.92;2.99;3.09;3.23;4.51;4.63;4.71;4.85;4.08;4.28;4.48;4.70;4.79;4.95;4.70;4.85;4.90;4.75;4.75;4.43;3.94;3.87;4.15;3.92;4.12;4.11;3.76;4.07;4.38;4.04;4.15;4.25;3.72;3.57;3.31;3.12;3.23;3.44;3.48;3.41;3.40;3.44;3.42;3.39;3.21;3.26;3.28;3.41;3.50;3.58;3.50;3.58;3.39;3.02;3.04
PA;2.73;2.69;2.78;2.65;2.45;2.48;2.28;2.53;2.45;2.32;2.31;2.14;1.84;1.98;2.02;2.04;2.40;2.31;2.55;2.69;2.77;2.89;2.78;3.12;3.28;3.99;4.48;4.58;4.89;5.12;4.88;4.45;4.13;3.47;3.39;3.33;3.09;3.10;3.21;3.37;3.47;3.51;3.78;3.74;3.72;3.42;3.00;3.04;2.86;2.90;2.90;2.71;2.75;2.70;2.67;2.69;2.68;2.72;2.72;2.53;2.55;2.59;2.48;2.49;2.63;2.70;2.54;2.61
